Seleçao,Descrição,Código,Matriz,Estado,Marca,Preço,Desconto Normal,Desconto Gradual
,Vinho Villa Rosa Frisante Rose,4068,CASTASMG,Habilitado,,"35,90",,
,Vinho Villa Rosa Rose 750Ml,2703,CASTASMG,Habilitado,,"61,60",,
,Vinho Villa Rosa Rose Escolha 750Ml,3025,CASTASMG,Desabilitado,,,,
,Vinho Villa Rosa Tinto 750Ml,2614,CASTASMG,Habilitado,,"97,70",,
,Vinho Villa Rosa Tinto Escolha 750Ml,3024,CASTASMG,Desabilitado,,,,
,Vinho Villa Rosa Tinto Privado 750Ml,3027,CASTASMG,Desabilitado,,,,
,Vinho Vino Rosso Loggia Delle Sassaie 750Ml,3125,CASTASMG,Habilitado,,"33,00",,
,Espumante Espumante Alud Branco 750Ml,3011,CASTAES,Habilitado,,"39,90",,
,Espumante Espumante Alud Rose 750Ml,3063,CASTAES,Habilitado,,"36,90",,
,Vinho Adega Da Serra Tinto 750Ml,2914,CASTAES,Desabilitado,,"41,81",,
,Vinho Adele Branco 750Ml,2917,CASTAES,Habilitado,,"59,90",,
,Vinho Adele Rose 750Ml,2916,CASTAES,Habilitado,,"59,90",,
,Vinho Adele Tinto 750Ml,2918,CASTAES,Desabilitado,,,,
,Vinho Branco Cala De Poeti Bianco 750Ml,3126,CASTAES,Habilitado,,"41,90",,
,Vinho Chao Do Conde Colheita Branco750Ml,2906,CASTAES,Habilitado,,"51,90",,
,Vinho Chao Do Conde Colheita Rose 750Ml,2891,CASTAES,Habilitado,,"51,90",,
,Vinho Chao Do Conde Colheita Tinto 750Ml,2892,CASTAES,Habilitado,,"51,90",,
,Vinho Chao Do Conde Privado Branco 750Ml,2890,CASTAES,Habilitado,,"44,90",,
,Vinho Chao Do Conde Privado Tinto 750Ml,2889,CASTAES,Habilitado,,"44,90",,
,Vinho Chao Do Conde Reserva Branco 750Ml,2888,CASTAES,Habilitado,,"61,90",,
,Vinho Chao Do Conde Reserva Tinto 750Ml,2887,CASTAES,Habilitado,,"61,90",,
,Vinho Collemare Neo Sicily 750Ml,3022,CASTAES,Habilitado,,"64,80",,
,Vinho Comassi Primitivo Puglia 750Ml,3124,CASTAES,Habilitado,,"61,90",,
,Vinho Foodkiller Cab. Sauv. 750Ml,2927,CASTAES,Habilitado,,"39,90",,
,Vinho Foodkiller Cab. Sauv./ Merlot,2926,CASTAES,Habilitado,,"39,90",,
,Vinho Foodkiller Carmenere 750Ml,2928,CASTAES,Habilitado,,"39,90",,
,Vinho Foodkiller Chardonnay 750Ml,2929,CASTAES,Habilitado,,"39,90",,
,Vinho Gravedad Cab. Sauv.,2925,CASTAES,Habilitado,,"32,90",,
,Vinho Gravedad Cab. Sauv./ Carmenere,2922,CASTAES,Habilitado,,"32,90",,
,Vinho Gravedad Carmenere 750Ml,2924,CASTAES,Habilitado,,"32,90",,
,Vinho Gravedad Sauv. Blanc 750Ml,2923,CASTAES,Habilitado,,"32,90",,
,Vinho Horizonte Branco 750Ml,2844,CASTAES,Habilitado,,"36,90",,
,Vinho Horizonte Rose 750Ml,2845,CASTAES,Habilitado,,"36,90",,
,Vinho Horizonte Tinto 750Ml,2846,CASTAES,Habilitado,,"36,90",,
,Vinho Humb. Canale Denario Cab. Sauv. 750Ml,2894,CASTAES,Habilitado,,"59,90",,
,Vinho Humb. Canale Denario Malbec 750Ml,2893,CASTAES,Habilitado,,"59,90",,
,Vinho Humb. Canale Denario Sauv. Blanc,2895,CASTAES,Habilitado,,"59,90",,
,Vinho Las Colinas Cab. Sauv. 750Ml,2936,CASTAES,Habilitado,,"40,90",,
,Vinho Las Colinas Carmenere 750Ml,2937,CASTAES,Habilitado,,"40,90",,
,Vinho Las Colinas Red Blend,2943,CASTAES,Habilitado,,"32,90",,
,Vinho Las Colinas Sauv. Blanc 750Ml,2938,CASTAES,Habilitado,,"40,90",,
,Vinho Maxime Branco 750Ml,2263,CASTAES,Habilitado,,"59,90",,
,Vinho Maxime Rose 750Ml,2874,CASTAES,Habilitado,,"48,70",,
,Vinho Maxime Tinto 750Ml,2875,CASTAES,Habilitado,,"59,90",,
,Vinho Mov Branco,2981,CASTAES,Habilitado,,"30,90",,
,Vinho Mov Tinto,2982,CASTAES,Habilitado,,"30,90",,
,Vinho Pacheca Doc Douro Branco 750Ml,2516,CASTAES,Habilitado,,"69,90",,
,Vinho Pacheca Doc Douro Rose  750Ml,2517,CASTAES,Habilitado,,"69,90",,
,Vinho Pacheca Doc Douro Tinto 750Ml,2518,CASTAES,Habilitado,,"69,90",,
,Vinho Punta De Lobos Reserva Cab. Sauv. 750Ml,2930,CASTAES,Habilitado,,"69,90",,
,Vinho Punta De Lobos Reserva Carmenere 750Ml,2931,CASTAES,Habilitado,,"69,90",,
,Vinho Punta De Lobos Reserva Chardonnay 750Ml,2935,CASTAES,Habilitado,,"64,80",,
,Vinho Punta De Lobos Reserva Malbec 750Ml,2932,CASTAES,Habilitado,,"69,90",,
,Vinho Punta De Lobos Reserva Merlot 750Ml,2933,CASTAES,Habilitado,,"69,90",,
,Vinho Punta De Lobos Reserva Sauv. Blanc 750Ml,2934,CASTAES,Habilitado,,"69,90",,
,Vinho Rose Cala De Poeti Rosato 750Ml,3127,CASTAES,Habilitado,,"41,90",,
,Vinho Villa Rosa Branco 750Ml,2613,CASTAES,Habilitado,,"36,90",,
,Vinho Villa Rosa Branco Escolha 750Ml,3023,CASTAES,Desabilitado,,,,
,Vinho Villa Rosa Branco Privado 750Ml,3026,CASTAES,Desabilitado,,,,
,Vinho Villa Rosa Colheita Tinto 375Ml,2704,CASTAES,Habilitado,,"36,90",,
,Vinho Villa Rosa Frisante Branco,4067,CASTAES,Habilitado,,"22,90",,
,Vinho Villa Rosa Frisante Rose,4068,CASTAES,Habilitado,,"22,90",,
,Vinho Villa Rosa Rose 750Ml,2703,CASTAES,Habilitado,,"36,90",,
,Vinho Villa Rosa Rose Escolha 750Ml,3025,CASTAES,Desabilitado,,,,
,Vinho Villa Rosa Tinto 750Ml,2614,CASTAES,Habilitado,,"36,90",,
,Vinho Villa Rosa Tinto Escolha 750Ml,3024,CASTAES,Desabilitado,,,,
,Vinho Villa Rosa Tinto Privado 750Ml,3027,CASTAES,Desabilitado,,,,
,Vinho Vino Rosso Loggia Delle Sassaie 750Ml,3125,CASTAES,Habilitado,,"41,90",,
